Flight No.,"Version,Booster[b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,Date,Time
16,F9 v1.1B1015[8],Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",Failure[83](drone ship),2,March
17,F9 v1.1B1016[8],Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",No attempt[89],14,April
18,F9 v1.1B1018[8],Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,Precluded[94](drone ship),27,April
19,F9 FTB1019.1[98],Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",Success[99](ground pad),28,June
20,F9 v1.1B1017[8],VAFB,Jason-3,553 kg,LEO,NASA,"Success
",Failure(drone ship),22,December
21,F9 FTB1020.1[108],Cape Canaveral,SES-9,"5,271 kg",GTO,SES,"Success
",Failure(drone ship),17,January
22,F9 FTB1021.1[115],Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,Success[118](drone ship),4,March
23,F9 FTB1022.1[122],Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",Success(drone ship),8,April
24,F9 FTB1023.1[129],Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",Success[133](drone ship),6,May
25,F9 FTB1024.1[108],Cape Canaveral,ABS-2A,"3,600 kg",GTO,ABS,"Success
",Failure[64](drone ship),27,May
26,F9 FTB1025.1[129],Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",Success(ground pad),15,June
27,F9 FTB1026.1[108],Cape Canaveral,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",Success(drone ship),18,July
28,F9 FTB1029.1[151],VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",Success[154](drone ship),14,August
29,F9 FTB1031.1[8],KSC,SpaceX CRS-10,"2,490 kg",LEO,NASA,"Success
",Success(ground pad),14,January
30,F9 FTB1030.1[163],KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",No attempt[165],19,February
31,F9 FT♺B1021.2[115],KSC,SES-10,"5,300 kg",GTO,SES,Success,Success(drone ship),16,March
32,F9 FTB1032.1[129],KSC,NROL-76,Classified,LEO,NRO,"Success
",Success(ground pad),30,March
33,F9 FTB1034.1[179],KSC,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",No attempt[165],1,May
34,F9 FTB1035.1[185],KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",Success(ground pad),15,May
35,F9 FT♺B1029.2[195],KSC,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
",Success(drone ship),3,June
36,F9 FTB1036.1[198],VAFB,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",Success(drone ship),23,June
37,F9 FTB1037.1[200],KSC,Intelsat 35e,"6,761 kg",GTO,Intelsat,"Success
",No attempt[165],25,June
38,F9 B4B1039.1[207],KSC,SpaceX CRS-12,"3,310 kg",LEO,NASA,"Success
",Success(ground pad),5,July
39,F9 FTB1038.1[209],VAFB,Formosat-5,475 kg,SSO,NSPO,"Success
",Success(drone ship),14,August
40,F9 B4B1040.1[108],KSC,Boeing X-37B,"4,990 kg",LEO,USAF,"Success
",Success(ground pad),24,August
41,F9 B4B1041.1[219],VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",Success(drone ship),7,September
42,F9 FT♺B1031.2[220],KSC,SES-11,"5,200 kg",GTO,SES S.A.,"Success
",Success(drone ship),9,October
43,F9 B4B1042.1[219],KSC,Koreasat 5A,"3,500 kg",GTO,KT Corporation,"Success
",Success(drone ship),11,October
44,F9 FT♺B1035.2[227],Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,NASA,"Success
",Success(ground pad),30,October
45,F9 FT♺B1036.2[227],VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,Controlled(ocean)[d][230],15,December
46,F9 B4B1043.1[238],CCAFS,Zuma,Classified,LEO,Northrop Grumman,Success,Success(ground pad),23,December
47,F9 FT♺B1032.2[245],CCAFS,GovSat-1,"4,230 kg",GTO,SES,Success,Controlled(ocean)[d][248],8,January
48,F9 FT♺B1038.2[268],VAFB,Paz,"2,150 kg",SSO,Hisdesat,Success,No attempt[271],31,January
49,F9 B4B1044.1[108],CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,No attempt[281],22,February
50,F9 B4♺B1041.2[268],VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,No attempt[287],6,March
51,F9 B4♺B1039.2[292],CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,No attempt[294],30,March
52,F9 B4B1045.1[268],CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,Success[306](drone ship),2,April
53,F9 B5[311]B1046.1[268],KSC,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,Success[315](drone ship),18,April
54,F9 B4♺B1043.2[322],VAFB,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,No attempt[165],11,May
55,F9 B4♺B1040.2[268],CCAFS,SES-12,"5,384 kg",GTO,SES,Success,No attempt[165],22,May
56,F9 B4♺B1045.2[336],CCAFS,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,No attempt[165],4,June
57,F9 B5B1047.1,CCAFS,Telstar 19V,"7,075 kg",GTO,Telesat,Success,Success[344](drone ship),29,June
58,F9 B5[349]B1048.1[350],VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,Success[352](drone ship),22,July
59,F9 B5♺B1046.2[354],CCAFS,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,Success[358](drone ship),25,July
